Date,Revenue_SARIMA,Revenue_SARIMA_Lower,Revenue_SARIMA_Upper,Revenue_Prophet,Revenue_Prophet_Lower,Revenue_Prophet_Upper,Cost of Revenue_SARIMA,Cost of Revenue_SARIMA_Lower,Cost of Revenue_SARIMA_Upper,Cost of Revenue_Prophet,Cost of Revenue_Prophet_Lower,Cost of Revenue_Prophet_Upper,Research and Development_SARIMA,Research and Development_SARIMA_Lower,Research and Development_SARIMA_Upper,Research and Development_Prophet,Research and Development_Prophet_Lower,Research and Development_Prophet_Upper
2025-06-30,73548.38702703042,70508.5278646315,76588.24618942934,74560.88467077962,73701.52950413534,75356.39018390626,22999.817817564337,21571.116734133535,24428.51890099514,22527.636697416398,22105.421414477038,22966.942104526344,8455.667014124227,8020.865731615682,8890.468296632771,8251.650850018304,8116.969471868257,8382.12364921224
2025-09-30,74521.23003294782,69095.75615183613,79946.7039140595,72862.36632229773,70978.25822434245,74482.32249000036,22714.29810506365,20591.54614441535,24837.050065711952,21455.312589432186,20692.296025829644,22184.301883503835,8066.28283125294,7390.010173462233,8742.555489043647,7963.107860321008,7603.24509024971,8296.796410652334
2025-12-31,79394.2565973419,71543.3980346827,87245.11516000109,77575.51660815631,73937.6013360378,80665.87410448586,25244.18068547291,22329.994187848824,28158.367183096998,24218.69683068793,22861.718958034442,25667.81496045718,8460.145757120748,7591.8630434444485,9328.42847079705,8225.983868637384,7463.663451350759,8961.804619637564
2026-03-31,80574.2399454295,70143.39138794233,91005.08850291665,78152.23178519055,72462.14296109219,82929.46945542873,24987.329401453822,21178.763527379328,28795.895275528317,23436.189800789412,21317.535942778795,25693.44855402239,8826.542895265358,7792.869520307306,9860.21627022341,8402.355554426293,7196.123419067791,9537.892299553618
2026-06-30,84727.57626592854,69818.4002767106,99636.75225514648,83675.24169382779,75603.52946312638,91355.52364345334,26092.15914684422,20967.809033533867,31216.509260154573,24813.31719194063,21860.88808794507,28112.625012396507,9069.047843405853,7799.979116381109,10338.116570430599,8425.801299147666,6742.325405382537,10047.822262771928
2026-09-30,86270.46313403301,66436.41426372486,106104.51200434116,80950.9517368385,70470.55672902359,90788.73759356482,25970.111306984563,19518.308116334538,32421.91449763459,23408.80001665298,19756.388364008133,27432.295718026457,8573.126517106573,7080.626949247547,10065.6260849656,8259.812649001753,6031.431033190731,10388.668632142324
2026-12-31,91898.59595586876,66862.46135969728,116934.73055204024,85479.88138885263,71510.44993080635,99309.30327824419,28149.648913581856,20274.93950652417,36024.35832063954,26381.38497009371,21178.68750117293,31957.72019232166,9052.623058638399,7354.31377495346,10750.932342323338,8563.285238720386,5739.991878881586,11375.907047309141
2027-03-31,94070.73015635856,63523.48217540929,124617.97813730783,86595.71459215782,69997.88809676166,103545.30782287983,28064.384070639404,18653.564417433183,37475.203723845625,25731.546025771007,19654.04712215895,32122.885053822218,9398.759803959712,7517.412081614566,11280.107526304859,8750.41183313091,5225.374764130993,12222.972977441803
